Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
east-midlands,East Midlands,east-midlands,,0,
east-of-england,East of England,east-of-england,,1,
england,England,england,,2,
london,London,london,,3,
north-east,North East,north-east,,4,
north-west,North West,north-west,,5,
south-east,South East,south-east,,6,
south-west,South West,south-west,,7,
west-midlands,West Midlands,west-midlands,,8,
yorkshire-and-the-humber,Yorkshire and The Humber,yorkshire-and-the-humber,,9,
