Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description,Original Concept URI
1998,1998,1998,,0,,http://reference.data.gov.uk/id/year/1998
1999,1999,1999,,1,,http://reference.data.gov.uk/id/year/1999
2000,2000,2000,,2,,http://reference.data.gov.uk/id/year/2000
2001,2001,2001,,3,,http://reference.data.gov.uk/id/year/2001
2002,2002,2002,,4,,http://reference.data.gov.uk/id/year/2002
2003,2003,2003,,5,,http://reference.data.gov.uk/id/year/2003
2004,2004,2004,,6,,http://reference.data.gov.uk/id/year/2004
2005,2005,2005,,7,,http://reference.data.gov.uk/id/year/2005
2006,2006,2006,,8,,http://reference.data.gov.uk/id/year/2006
2007,2007,2007,,9,,http://reference.data.gov.uk/id/year/2007
2008,2008,2008,,10,,http://reference.data.gov.uk/id/year/2008
2009,2009,2009,,11,,http://reference.data.gov.uk/id/year/2009
2010,2010,2010,,12,,http://reference.data.gov.uk/id/year/2010
2011,2011,2011,,13,,http://reference.data.gov.uk/id/year/2011
2012,2012,2012,,14,,http://reference.data.gov.uk/id/year/2012
2013,2013,2013,,15,,http://reference.data.gov.uk/id/year/2013
2014,2014,2014,,16,,http://reference.data.gov.uk/id/year/2014
2015,2015,2015,,17,,http://reference.data.gov.uk/id/year/2015
2016,2016,2016,,18,,http://reference.data.gov.uk/id/year/2016
2017,2017,2017,,19,,http://reference.data.gov.uk/id/year/2017
2018,2018,2018,,20,,http://reference.data.gov.uk/id/year/2018
2019,2019,2019,,21,,http://reference.data.gov.uk/id/year/2019
2020,2020,2020,,22,,http://reference.data.gov.uk/id/year/2020
2021,2021,2021,,23,,http://reference.data.gov.uk/id/year/2021
2022,2022,2022,,24,,http://reference.data.gov.uk/id/year/2022
