Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description,Original Concept URI
2013-2014,2013-2014,2013-2014,,0,,http://reference.data.gov.uk/id/government-year/2013-2014
2014-2015,2014-2015,2014-2015,,1,,http://reference.data.gov.uk/id/government-year/2014-2015
2015-2016,2015-2016,2015-2016,,2,,http://reference.data.gov.uk/id/government-year/2015-2016
2016-2017,2016-2017,2016-2017,,3,,http://reference.data.gov.uk/id/government-year/2016-2017
2017-2018,2017-2018,2017-2018,,4,,http://reference.data.gov.uk/id/government-year/2017-2018
2018-2019,2018-2019,2018-2019,,5,,http://reference.data.gov.uk/id/government-year/2018-2019
2019-2020,2019-2020,2019-2020,,6,,http://reference.data.gov.uk/id/government-year/2019-2020
2020-2021,2020-2021,2020-2021,,7,,http://reference.data.gov.uk/id/government-year/2020-2021
2021-2022,2021-2022,2021-2022,,8,,http://reference.data.gov.uk/id/government-year/2021-2022
2022-2023,2022-2023,2022-2023,,9,,http://reference.data.gov.uk/id/government-year/2022-2023
2023-2024,2023-2024,2023-2024,,10,,http://reference.data.gov.uk/id/government-year/2023-2024
